 N , Image Name, Lat, Lon, UTMe, UTMN, Height, sdn,sde,sdu,sdne,sdeu,sdun
  1, DSC00525.jpg, 44.565379, -123.271965, 478403.587020, 4934707.289105, 49.346185, 0.019545, 0.012400, 0.027745, 0.010300, -0.013700, -0.020945
  2, DSC00526.jpg, 44.565378, -123.271965, 478403.592230, 4934707.253432, 49.406428, 0.011000, 0.008957, 0.013600, 0.005000, -0.005800, -0.007800
  3, DSC00527.jpg, 44.565379, -123.271965, 478403.600122, 4934707.268789, 49.357400, 0.010980, 0.008820, 0.013600, 0.004880, -0.005800, -0.007800
  4, DSC00528.jpg, 44.565377, -123.271965, 478403.589730, 4934707.049858, 49.462712, 0.007400, 0.005656, 0.012800, 0.003812, -0.005644, -0.007044
  5, DSC00529.jpg, 44.565351, -123.271967, 478403.410684, 4934704.200517, 97.011444, 0.007600, 0.005708, 0.013100, 0.003900, -0.005800, -0.007292
  6, DSC00530.jpg, 44.565351, -123.271784, 478417.893910, 4934704.156115, 127.087605, 0.010600, 0.008400, 0.012600, 0.004600, -0.005200, -0.007565
  7, DSC00531.jpg, 44.565352, -123.271837, 478413.704067, 4934704.328267, 126.687630, 0.010600, 0.008400, 0.012600, 0.004600, -0.005200, -0.007500
  8, DSC00532.jpg, 44.565352, -123.271893, 478409.246062, 4934704.275041, 126.609671, 0.010600, 0.008400, 0.012600, 0.004663, -0.005200, -0.007563
  9, DSC00533.jpg, 44.565354, -123.271953, 478404.483903, 4934704.492520, 126.373670, 0.010600, 0.008400, 0.012530, 0.004600, -0.005200, -0.007500
 10, DSC00534.jpg, 44.565354, -123.272008, 478400.133123, 4934704.575467, 126.359964, 0.010600, 0.008400, 0.012528, 0.004600, -0.005200, -0.007500
 11, DSC00535.jpg, 44.565355, -123.272062, 478395.847990, 4934704.678841, 126.300268, 0.010600, 0.008374, 0.012574, 0.004600, -0.005200, -0.007574
 12, DSC00536.jpg, 44.565355, -123.272110, 478392.063874, 4934704.709116, 126.250131, 0.010600, 0.008300, 0.012523, 0.004600, -0.005200, -0.007500
 13, DSC00537.jpg, 44.565358, -123.272163, 478387.809485, 4934705.049610, 126.104840, 0.010600, 0.008400, 0.012600, 0.004600, -0.005200, -0.007600
 14, DSC00538.jpg, 44.565359, -123.272222, 478383.139415, 4934705.199353, 126.045426, 0.010600, 0.008400, 0.012553, 0.004600, -0.005200, -0.007600
 15, DSC00539.jpg, 44.565362, -123.272275, 478378.909403, 4934705.475405, 126.229749, 0.010600, 0.008383, 0.012517, 0.004600, -0.005200, -0.007600
 16, DSC00540.jpg, 44.565306, -123.272327, 478374.819124, 4934699.246279, 127.009200, 0.010600, 0.008300, 0.012557, 0.004600, -0.005200, -0.007600
 17, DSC00541.jpg, 44.565293, -123.272263, 478379.899082, 4934697.866899, 126.562092, 0.010600, 0.008338, 0.012600, 0.004600, -0.005200, -0.007600
 18, DSC00542.jpg, 44.565290, -123.272206, 478384.364741, 4934697.483883, 126.267924, 0.010600, 0.008400, 0.012600, 0.004664, -0.005200, -0.007600
 19, DSC00543.jpg, 44.565291, -123.272154, 478388.547628, 4934697.640340, 126.163236, 0.010600, 0.008334, 0.012600, 0.004600, -0.005200, -0.007600
 20, DSC00544.jpg, 44.565290, -123.272098, 478392.942565, 4934697.429756, 126.071332, 0.010664, 0.008400, 0.012600, 0.004536, -0.005200, -0.007600
 21, DSC00545.jpg, 44.565290, -123.272050, 478396.794715, 4934697.399546, 126.048726, 0.010600, 0.008300, 0.012600, 0.004600, -0.005200, -0.007600
 22, DSC00546.jpg, 44.565290, -123.271998, 478400.909407, 4934697.406755, 126.025554, 0.010600, 0.008400, 0.012600, 0.004600, -0.005200, -0.007600
 23, DSC00547.jpg, 44.565288, -123.271947, 478404.950279, 4934697.202969, 126.079900, 0.010600, 0.008325, 0.012600, 0.004600, -0.005200, -0.007600
 24, DSC00548.jpg, 44.565286, -123.271895, 478409.123583, 4934696.986031, 126.085264, 0.010600, 0.008346, 0.012600, 0.004600, -0.005200, -0.007646
 25, DSC00549.jpg, 44.565284, -123.271843, 478413.210929, 4934696.761076, 125.998920, 0.010600, 0.008400, 0.012645, 0.004600, -0.005200, -0.007600
 26, DSC00550.jpg, 44.565284, -123.271796, 478416.917293, 4934696.717957, 126.003028, 0.010652, 0.008352, 0.012652, 0.004600, -0.005200, -0.007648
 27, DSC00551.jpg, 44.565281, -123.271742, 478421.252352, 4934696.412620, 126.126350, 0.010650, 0.008300, 0.012650, 0.004600, -0.005200, -0.007650
 28, DSC00552.jpg, 44.565281, -123.271687, 478425.612664, 4934696.328601, 126.130685, 0.010615, 0.008400, 0.012700, 0.004600, -0.005200, -0.007700
 29, DSC00553.jpg, 44.565278, -123.271631, 478430.074395, 4934695.983860, 126.136070, 0.010700, 0.008355, 0.012700, 0.004600, -0.005200, -0.007700
 30, DSC00554.jpg, 44.565221, -123.271541, 478437.207036, 4934689.655937, 126.475595, 0.010700, 0.008400, 0.012700, 0.004600, -0.005200, -0.007700
 31, DSC00555.jpg, 44.565216, -123.271594, 478432.995202, 4934689.135336, 126.792978, 0.007667, 0.005867, 0.013300, 0.003933, -0.005800, -0.007500
 32, DSC00556.jpg, 44.565210, -123.271655, 478428.116568, 4934688.428009, 126.145959, 0.007631, 0.005738, 0.013300, 0.004031, -0.005731, -0.007500
 33, DSC00557.jpg, 44.565214, -123.271717, 478423.179442, 4934688.877003, 126.277901, 0.007529, 0.005729, 0.013200, 0.003871, -0.005771, -0.007571
 34, DSC00558.jpg, 44.565214, -123.271771, 478418.922307, 4934688.952294, 126.377440, 0.007600, 0.005700, 0.013200, 0.004026, -0.005774, -0.007474
 35, DSC00559.jpg, 44.565213, -123.271827, 478414.486502, 4934688.859577, 126.450672, 0.007584, 0.005842, 0.013200, 0.003916, -0.005742, -0.007458
 36, DSC00560.jpg, 44.565213, -123.271879, 478410.303076, 4934688.889771, 126.510352, 0.007600, 0.005756, 0.013200, 0.004044, -0.005700, -0.007500
 37, DSC00561.jpg, 44.565215, -123.271932, 478406.109165, 4934689.058698, 126.541250, 0.007554, 0.005746, 0.013200, 0.003900, -0.005746, -0.007546
 38, DSC00562.jpg, 44.565215, -123.271985, 478401.936308, 4934689.064870, 126.559880, 0.007648, 0.005748, 0.013252, 0.003904, -0.005848, -0.007500
 39, DSC00563.jpg, 44.565216, -123.272042, 478397.366549, 4934689.195142, 126.549700, 0.007650, 0.005800, 0.013300, 0.004050, -0.005750, -0.007500
 40, DSC00564.jpg, 44.565218, -123.272096, 478393.075502, 4934689.421519, 126.560852, 0.007614, 0.005800, 0.013300, 0.004000, -0.005786, -0.007600
 41, DSC00565.jpg, 44.565219, -123.272154, 478388.510122, 4934689.542385, 126.569836, 0.007700, 0.005712, 0.013400, 0.004000, -0.005888, -0.007600
 42, DSC00566.jpg, 44.565217, -123.272208, 478384.203289, 4934689.412331, 126.627430, 0.007700, 0.005800, 0.013490, 0.004090, -0.005800, -0.007600
 43, DSC00567.jpg, 44.565216, -123.272260, 478380.093071, 4934689.293192, 126.623379, 0.007678, 0.005800, 0.013378, 0.003939, -0.005839, -0.007578
 44, DSC00568.jpg, 44.565171, -123.272305, 478376.509223, 4934684.333926, 126.625075, 0.007765, 0.005735, 0.013435, 0.004165, -0.005835, -0.007635
 45, DSC00569.jpg, 44.565157, -123.272235, 478382.037840, 4934682.755735, 126.581160, 0.007552, 0.005726, 0.013300, 0.004000, -0.005726, -0.007574
 46, DSC00570.jpg, 44.565155, -123.272176, 478386.695645, 4934682.488176, 126.582454, 0.007700, 0.005643, 0.013400, 0.004000, -0.005900, -0.007643
 47, DSC00571.jpg, 44.565153, -123.272114, 478391.686831, 4934682.280673, 126.206034, 0.007592, 0.005800, 0.013300, 0.004054, -0.005754, -0.007600
 48, DSC00572.jpg, 44.565151, -123.272060, 478395.975239, 4934682.035014, 125.786648, 0.007652, 0.005700, 0.013300, 0.003952, -0.005800, -0.007600
 49, DSC00573.jpg, 44.565150, -123.272007, 478400.121950, 4934681.840125, 125.773800, 0.007600, 0.005800, 0.013350, 0.004050, -0.005700, -0.007550
 50, DSC00574.jpg, 44.565147, -123.271957, 478404.103357, 4934681.523715, 125.902384, 0.007600, 0.005752, 0.013300, 0.004100, -0.005752, -0.007600
 51, DSC00575.jpg, 44.565144, -123.271903, 478408.385697, 4934681.153731, 126.020240, 0.007587, 0.005700, 0.013300, 0.004087, -0.005800, -0.007613
 52, DSC00576.jpg, 44.565142, -123.271852, 478412.468958, 4934680.971880, 126.111366, 0.007657, 0.005714, 0.013357, 0.004100, -0.005800, -0.007543
 53, DSC00577.jpg, 44.565142, -123.271803, 478416.382653, 4934680.944276, 126.143376, 0.007642, 0.005726, 0.013342, 0.004158, -0.005700, -0.007600
 54, DSC00578.jpg, 44.565144, -123.271750, 478420.566018, 4934681.124853, 126.195520, 0.007660, 0.005700, 0.013400, 0.004000, -0.005800, -0.007660
 55, DSC00579.jpg, 44.565142, -123.271697, 478424.732313, 4934680.881905, 126.330656, 0.007700, 0.005838, 0.013462, 0.004062, -0.005800, -0.007662
 56, DSC00580.jpg, 44.565141, -123.271646, 478428.777011, 4934680.754488, 126.334772, 0.007600, 0.005764, 0.013400, 0.004136, -0.005764, -0.007700
 57, DSC00581.jpg, 44.565136, -123.271591, 478433.151052, 4934680.179844, 126.254770, 0.007766, 0.005832, 0.013566, 0.004134, -0.005800, -0.007700
 58, DSC00582.jpg, 44.565136, -123.271544, 478436.898088, 4934680.196966, 126.338364, 0.007732, 0.005900, 0.013500, 0.004136, -0.005800, -0.007700
 59, DSC00583.jpg, 44.565136, -123.271485, 478441.578917, 4934680.224561, 126.192965, 0.007600, 0.005829, 0.013400, 0.004029, -0.005700, -0.007629
